rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
210,208,208,,no,no,Juan Carlos Prado Angelo,20,BOL,BOL,279,,+2,,,,no
211,164,164,,no,no,James McCabe,22,AUS,AUS,276,-1,-7,,Lost in Qual. Doha R1,,no
212,CH,212,,yes,no,Remy Bertola,27,SUI,SUI,276,,+1,,,,no
213,183,183,,no,no,Oliver Crawford,26,GBR,GBR,273,,+2,New Delhi R16 278 341,,,yes
214,16,16,,no,no,Marco Cecchinato,33,ITA,ITA,270,,+2,,,,no
215,106,106,,no,no,Tristan Boyer,24,USA,USA,268,,+2,,,,no
216,61,61,,no,no,Thiago Monteiro,31,BRA,BRA,265,-8,-25,**Qual. Rio de Janeiro W**,Lost in Rio de Janeiro R32,,yes
217,205,205,,no,no,Gonzalo Bueno,21,PER,PER,265,,+1,Tigre 1 R16 267 309,,,yes
218,58,58,,no,no,Thiago Seyboth Wild,25,BRA,BRA,262,,+1,,,,no
219,NCH (220),219,220,yes,yes,Yi Zhou,20,CHN,CHN,261,,+1,,,,no
220,196,196,,no,no,Rodrigo Pacheco Mendez,20,MEX,MEX,260,+8,+12,Metepec QF 270 323,,,yes
221,214,214,,no,no,Ilia Simakin,22,RUS,RUS,259,-7,-15,,,,no
222,202,202,,no,no,Federico Cina,18,ITA,ITA,258,+3,+6,New Delhi R16 264 327,,,yes
223,157,157,,no,no,Lukas Neumayer,23,AUT,AUT,255,,-1,,,,no
224,191,191,,no,no,Nerman Fatić,31,BIH,BIH,254,,-1,,,,no
225,NCH (226),225,226,yes,yes,Lautaro Midon,21,ARG,ARG,252,,+1,Tigre 1 R16 254 296,,,yes
226,47,47,,no,no,Marc-Andrea Hüsler,29,SUI,SUI,250,,+1,,,,no
227,NCH (231),227,231,yes,yes,Matej Dodig,20,CRO,CRO,249,+5,+5,**Qual. Lille W**,Lost in Lille R32,,yes
228,72,72,,no,no,Borna Gojo,27,CRO,CRO,248,+9,+12,Metepec QF 258 311,,,yes
229,131,131,,no,no,Genaro Alberto Olivieri,27,ARG,ARG,248,,+1,Tigre 1 R16 252 294,,,yes
230,158,158,,no,no,Yu-hsiou Hsu,26,TWN,TWN,247,-9,-12,,,,no
231,177,177,,no,no,Andrea Collarini,34,ARG,ARG,244,,+2,Tigre 1 R16 246 288,,,yes
232,123,123,,no,no,Ryan Peniston,30,GBR,GBR,242,,+2,Vila Real De Santo Antonio 2 R16,,,yes
233,155,155,,no,no,Dmitry Popko,29,KAZ,KAZ,241,,+3,,,,no
234,157,157,,no,no,Santiago Taverna,26,ARG,ARG,241,-3,-5,,Lost in Tigre 1 R32,,no
235,CH,235,,yes,no,Max Houkes,25,NED,NED,237,,-5,,Lost in Qual. Lille R2,,no
236,117,117,,no,no,Felipe Meligeni Alves,28,BRA,BRA,236,,+2,,,,no
237,168,168,,no,no,Frederico Ferreira Silva,30,POR,POR,235,-13,-19,,Lost in New Delhi R32,,no
238,236,236,,no,no,Marko Topo,22,GER,GER,234,,+1,Trento R16,,,yes
239,235,235,,no,no,Joel Schwärzler,20,AUT,AUT,234,+7,+8,Lille R16 242 351,,,yes
240,147,147,,no,no,Kaichi Uchida,31,JPN,JPN,233,+2,+2,Vila Real De Santo Antonio 2 R16,Lost in Vila Real De Santo Antonio QF Lost in Vila Real De Santo Antonio QF Vila Real De Santo Antonio 2 R16,,yes
241,142,142,,no,no,Alejandro Moro Cañas,25,ESP,ESP,229,,+3,,,,no
242,NCH (243),242,243,yes,yes,Toby Samuel,23,GBR,GBR,228,+1,-2,,,,no
243,153,153,,no,no,Alexis Galarneau,26,CAN,CAN,227,-13,-19,Metepec R16 233 296,,,yes
244,NCH (245),244,245,yes,yes,Tom Gentzsch,22,GER,GER,227,,+1,,,,no
245,196,196,,no,no,Rio Noguchi,27,JPN,JPN,226,+5,+5,New Delhi R16 232 295,,,yes
246,210,210,,no,no,Filip Jianu,24,ROU,ROU,225,,+1,,Lost in Antalya 6 R32,,no
247,169,169,,no,no,Henri Squire,25,GER,GER,223,,+1,,Lost in Qual. Lille R1,,no
248,232,232,,no,no,Andrés Andrade,27,ECU,ECU,223,+4,+4,Metepec R16 229 292,,,yes
249,135,135,,no,no,Mitchell Krueger,32,USA,USA,221,,,,,,no
250,212,212,,no,no,Johannus Monday,24,GBR,GBR,221,-10,-12,Advertisement,,,yes
251,97,97,,no,no,Kimmer Coppejans,32,BEL,BEL,221,,+1,**Qual. Lille W**,Lost in Lille R32,,yes
252,142,142,,no,no,Ivan Gakhov,29,RUS,RUS,219,,+1,,,,no
253,201,201,,no,no,Edas Butvilas,21,LTU,LTU,217,,+1,,Lost in New Delhi R32,,no
